stratum,n,gini,gini_lo,gini_hi,top1,top5,top10,top20,effective_n,note
all,1174,0.7993751374906425,0.6448875248906114,0.8722755266180329,0.6348442481477853,0.7218060130088408,0.7678909247130292,0.8269206129078452,11.885199527643222,
month:2025-09,37,0.4484296549513941,0.33305951003473444,0.5253717556349325,0.15069169960474307,0.22727272727272727,0.350296442687747,0.5360671936758893,18.354328521376026,
month:2025-10,58,0.4031818037623323,0.3365787978933478,0.4544666226184356,0.07451701931922723,0.18031278748850046,0.28764182766022695,0.4633547991413677,35.31909713803652,
month:2025-11,131,0.5058242546647279,0.38370919658843083,0.5943063636831893,0.18076835124628401,0.33661102218156874,0.4392865309855934,0.5729476332037503,35.50294540830061,
month:2025-12,158,0.7230099611322837,0.28841578221531894,0.8656240823026814,0.6110212286120508,0.6700495170858459,0.7050546649017012,0.7625631220277492,2.8279519067322454,
month:2026-01,201,0.7190523657186328,0.3733514308223615,0.8432660245683349,0.5703554960583073,0.6503792949576082,0.6989811096236799,0.7623828647925034,5.093673357236048,
month:2026-02,86,0.544637103860348,0.3147083105261441,0.690805752718864,0.2618073047858942,0.43655541561712846,0.5053526448362721,0.614294710327456,12.089563902132667,
month:2026-03,65,0.5370041160172327,0.3212297508464537,0.6396486033816327,0.1709348323964189,0.4259837601499063,0.5265459088069956,0.6231521965438268,14.634699795535015,
month:2026-04,70,0.35766357932476844,0.19777764085725932,0.5099665472575042,0.17328951299671347,0.26710487003286526,0.3382133253659994,0.4562294592172094,23.615788397444142,
month:2026-05,131,0.9132010914120089,0.37424789694250393,0.9411396989575723,0.8543396794908009,0.9030563245014406,0.9193454230457789,0.936792648249628,2.2133049988481845,
month:2026-06,121,0.7403123682352006,0.49850980001480993,0.821537096401757,0.4620083799866202,0.6713496003661843,0.7270518643709728,0.7931939016231823,8.346645427762825,
month:2026-07,115,0.5874571386792716,0.2358475406537878,0.7686135148068729,0.46657597400143597,0.5178173298567812,0.569663303480331,0.6500018894305256,4.844935402036891,
month:NaT,1,,,,,,,,,n<20; concentration not estimated
format:article,88,0.8417329799204242,0.5031352952038015,0.8990136187561065,0.5968355237973715,0.7748373101952277,0.8164093403087916,0.8733954319254816,2.7171034509721905,
format:document,5,,,,,,,,,n<20; concentration not estimated
format:image,597,0.8487212467993469,0.6186072974736992,0.9154148154388454,0.7286161598420475,0.7946194424424485,0.827796721033474,0.8714153337411349,5.264713795654008,
format:poll,2,,,,,,,,,n<20; concentration not estimated
format:text,366,0.6672357516532427,0.4576205725467113,0.7747223190430719,0.4259518732866281,0.5421057975428978,0.614194334450198,0.7115037059599959,13.562882556272603,
format:video,116,0.43057147497259435,0.35165687813300356,0.4950800361243468,0.11783352957159678,0.23539534462458112,0.3542251607644235,0.5118195815596414,54.06434083189159,
mature(age>=median),587,0.666850717200416,0.423007968386908,0.7858633244290543,0.47269735770371096,0.571156289707751,0.6285472257518001,0.7100478936565341,12.914962147494721,
young(age<median),587,0.8260742338586673,0.6245489688162059,0.8983333083315252,0.6513688153275939,0.7600896201439413,0.7985262683113369,0.8503078853960347,7.3861124917657195,
pre-break(<2026-06),937,0.808452211569407,0.5296949462428734,0.8945050832242031,0.6870866020612213,0.7525710330278859,0.7882743314215396,0.8353440130089876,6.143378101562865,
post-break(>=2026-06),236,0.699731050647972,0.45438534040449036,0.7897690721801057,0.4583678616465502,0.6283792710022218,0.6828679517204107,0.7502431994235272,13.054170397552749,
