old_figure,new_figure,source_filename
3,1,fig03_distribution_linear.png
4,2,fig04_distribution_log.png
6,3,fig06_quantile_bootstrap.png
1,4,fig01_lorenz_curve.png
2,5,fig02_top_share_curve.png
5,6,fig05_qq_lognormal.png
7,7,fig07_distribution_comparison.png
8,8,fig08_mixture_posterior.png
9,9,fig09_regime_by_format.png
10,10,fig10_regime_by_month.png
23,11,fig23_mechanism_dag.png
11,12,fig11_age_vs_impressions.png
12,13,fig12_sequence_semantic_effects.png
20,14,fig20_alias_map.png
13,15,fig13_changepoint_series.png
14,16,fig14_public_chronology.png
15,17,fig15_feed_vs_analytics.png
16,18,fig16_impressions_vs_reached.png
17,19,fig17_repeat_exposure.png
18,20,fig18_oon_vs_impressions.png
19,21,fig19_influence.png
21,22,fig21_frozen_race_models.png
22,23,fig22_claimB_uncertainty.png
