metric,value
ljung_box,"{""5"": {""stat"": 212.357539838296, ""p"": 6.437054934679463e-44}, ""10"": {""stat"": 271.97398013956143, ""p"": 1.28305966800255e-52}, ""20"": {""stat"": 357.8195787759942, ""p"": 1.08815709152456e-63}}"
acf_lag1,0.2881309940568741
acf_lag5,0.10939068134891493
pacf_lag1,0.28837663002793706
age_beta_ols,-0.3263303224006002
age_se_hc3,0.024227680149939822
age_se_hac10,0.04500832482011146
age_beta_block_boot_ci,"[-0.5015689418921102, -0.2654576634131591]"
block_length,25
block_boot_reps,1000
extreme_neg_residuals_count,12
extreme_pos_residuals_count,12
